grid_wind_mps,grid_rotor_speed_rpm,actual_wind_mps,actual_rotor_speed_rpm,wind_error_mps,rotor_speed_error_rpm,lin_time_s,lin_file,GTomega,GTbeta,GTu,GFomega,GFbeta,GFu
23,11.5,23.0,11.4988298416,0.0,-0.001170158400000787,0.908,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_11.5rpm.lin,3626.79079406,38909.9879502,734990.259594,179.932465124,10170.0311019,43058.6735506
23,12.0,23.0,12.000043869,0.0,4.386900000064031e-05,0.678,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\23mps_12rpm.lin,3953.29952821,50921.4529444,773407.079757,225.690164257,10940.9462243,45579.1283201
24,1.0,24.0,0.999855875969,0.0,-0.00014412403099994808,9.649,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_1rpm.lin,4661.9661333,93494.9177715,-302339.085532,-57.7411561446,-2385.14000545,1022.28763632
24,1.5,24.0,1.50023019314,0.0,0.00023019313999994573,9.295,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_1.5rpm.lin,9009.86114533,142749.842975,-333869.669195,12.9532276943,-2071.17609956,748.202308251
24,2.0,24.0,2.00005459785,0.0,5.459785000017092e-05,8.656,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_2rpm.lin,5703.88785576,108990.413374,-292559.412166,-0.842020852305,-2418.84256088,1143.95723842
24,2.5,24.0,2.50031900406,0.0,0.0003190040600000721,7.949,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_2.5rpm.lin,6241.83484386,120106.185535,-269970.551093,48.1089604601,-1266.70215509,502.429152478
24,3.0,24.0,3.00001978874,0.0,1.9788739999970772e-05,7.103,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_3rpm.lin,7109.62908762,138600.331038,-235277.956598,128.261890216,520.014554771,-433.355285477
24,3.5,24.0,3.49959731102,0.0,-0.00040268897999995446,6.631,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_3.5rpm.lin,32385.6972498,148540.846797,-270522.022971,-1090.21596385,1303.65542308,-1818.77730563
24,4.0,24.0,3.99975776672,0.0,-0.00024223327999983724,5.87,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_4rpm.lin,134102.270419,311852.338052,-229369.329336,-3930.99753792,5211.81506511,-2510.55110447
24,4.5,24.0,4.50015878677,0.0,0.00015878677000014108,5.552,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_4.5rpm.lin,94441.6584222,301784.11178,-285082.31294,-6746.09669018,5442.49118651,-4112.76267317
24,5.0,24.0,5.00032281876,0.0,0.00032281875999995435,4.866,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_5rpm.lin,83074.3688143,315994.645704,-133735.511356,-7502.71946998,6219.52125204,-1908.4977963
24,5.5,24.0,5.50040340424,0.0,0.00040340424000007147,4.443,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_5.5rpm.lin,-103475.358554,230017.353001,-112213.784176,-9148.39007686,5090.14161099,-1680.93731263
24,6.0,24.0,6.00042581558,0.0,0.0004258155799998775,3.682,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_6rpm.lin,-254807.281313,118051.657204,39011.263876,-6381.60686337,3748.13882848,1599.2460645
